"","DT_YEAR_COLLISION","DT_MONTH_COLLISION","DT_TIME","YEAR_MONTH_DAY","YEAR_MONTH_DAY_HOUR","TIME_DT","CD_NIS","TX_RGN_COLLISION_NL","TX_PROV_COLLISION_NL","TX_MUNTY_COLLISION_NL","LAT_WGS84","LONG_WGS84","TX_CROSSWAY_NL","TX_WEATHER_NL","TX_ROAD_CONDITION_NL","TX_BUILD_UP_AREA_NL","TX_LIGHT_CONDITION_NL","CD_ROAD_TYPE_NL","TX_CLASS_ACCIDENTS_NL","TX_ROAD_USR_TYPE1_NL","TX_ROAD_USR_TYPE2_NL","TX_COLLISION_TYPE_NL","TX_OBSTACLES_NL","HOUR"
"119","2021","06","08",2021-06-01,2021-06-01 08:00:00,2023-12-12 08:00:00,"13040","Vlaams Gewest","Provincie Antwerpen","Turnhout",51.3307752150001,4.95516005500002,"Buiten Kruispunt","Regenval","Nat, plassen","binnen bebouwde kom","Dag","Gewestweg","Met doden","personenauto","personenauto","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis","08"
"120","2022","01","19",2022-01-01,2022-01-01 19:00:00,2023-12-12 19:00:00,"13040","Vlaams Gewest","Provincie Antwerpen","Turnhout",51.3334403260001,4.96083986300005,"Op Kruispunt","Normaal","Droog","buiten bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Gewestweg","Met doden","Motorfiets","personenauto","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis","19"
"121","2017","05","16",2017-05-01,2017-05-01 16:00:00,2023-12-12 16:00:00,"71004","Vlaams Gewest","Provincie Limburg","Beringen",51.0450654470001,5.21667587300004,"Op Kruispunt","Normaal","Droog","buiten bebouwde kom","Dag","Gewestweg","dodelijk gewonden","personenauto","Fiets","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis","16"
"122","2018","07","18",2018-07-01,2018-07-01 18:00:00,2023-12-12 18:00:00,"71004","Vlaams Gewest","Provincie Limburg","Beringen",51.045743304,5.21028095800006,"Op Kruispunt","Normaal","Droog","buiten bebouwde kom","Dag","Gewestweg","dodelijk gewonden","personenauto","Fiets","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis","18"
"123","2020","09","21",2020-09-01,2020-09-01 21:00:00,2023-12-12 21:00:00,"71004","Vlaams Gewest","Provincie Limburg","Beringen",51.0440545500001,5.21994864300007,"Buiten Kruispunt","Onbekend","Droog","buiten bebouwde kom","Onbekend","Gewestweg","Met doden","Fiets","één bestuurder, geen hindernis","Eén bestuurder, geen hindernis (incl. val)","Geen hindernis","21"
"124","2017","05","16",2017-05-01,2017-05-01 16:00:00,2023-12-12 16:00:00,"71016","Vlaams Gewest","Provincie Limburg","Genk",50.962691084,5.50171400300007,"Op Kruispunt","Normaal","Droog","binnen bebouwde kom","Dag","Gewestweg","dodelijk gewonden","Fiets","Autobus","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis","16"
"125","2021","11","06",2021-11-01,2021-11-01 06:00:00,2023-12-12 06:00:00,"71016","Vlaams Gewest","Provincie Limburg","Genk",50.964421477,5.50016331500007,"Op Kruispunt","Normaal","Nat, plassen","binnen bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Gewestweg","Met doden","Bromfiets","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Andere paal","06"
"126","2017","05","18",2017-05-01,2017-05-01 18:00:00,2023-12-12 18:00:00,"46025","Vlaams Gewest","Provincie Oost-Vlaanderen","Temse",51.1328781820001,4.14805520500005,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Dag","Gemeenteweg","Met doden","Motorfiets","personenauto","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis","18"
"127","2022","07","20",2022-07-01,2022-07-01 20:00:00,2023-12-12 20:00:00,"46021","Vlaams Gewest","Provincie Oost-Vlaanderen","Sint-Niklaas (Sint-Niklaas)",51.134595404,4.14439893900004,"Op Kruispunt","Normaal","Droog","buiten bebouwde kom","Dag","Gewestweg","Met doden","personenauto","Motorfiets","Tussen 2 bestuurders: Frontale botsing","Geen hindernis","20"
"128","2017","06","00",2017-06-01,2017-06-01 00:00:00,2023-12-12 00:00:00,"56022","Waals Gewest","Provincie Henegouwen","Erquelinnes",50.3097697680001,4.12056595400003,"Buiten Kruispunt","Normaal","Proper","binnen bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Gewestweg","Met doden","personenauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Muur gebouw","00"
"129","2022","08","15",2022-08-01,2022-08-01 15:00:00,2023-12-12 15:00:00,"56022","Waals Gewest","Provincie Henegouwen","Erquelinnes",50.3100189350001,4.12187897000007,"Buiten Kruispunt","Normaal","Droog","binnen bebouwde kom","Dag","Gemeenteweg","Met doden","Andere weggebruiker","Voetganger","Met een voetganger","Geen hindernis","15"
"130","2017","06","07",2017-06-01,2017-06-01 07:00:00,2023-12-12 07:00:00,"11002","Vlaams Gewest","Provincie Antwerpen","Antwerpen",51.212398163,4.41207099100006,"Buiten Kruispunt","Normaal","Droog","binnen bebouwde kom","Dag","Gemeenteweg","Met doden","personenauto","personenauto","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis","07"
"131","2018","10","05",2018-10-01,2018-10-01 05:00:00,2023-12-12 05:00:00,"11002","Vlaams Gewest","Provincie Antwerpen","Antwerpen",51.2153352820001,4.41387894100006,"Buiten Kruispunt","Normaal","Droog","binnen bebouwde kom","Nacht, openb. verlicht. aanw., maar niet ontstoken","Gewestweg","Met doden","Voetganger","personenauto","Met een voetganger","Geen hindernis","05"
"132","2017","06","20",2017-06-01,2017-06-01 20:00:00,2023-12-12 20:00:00,"13017","Vlaams Gewest","Provincie Antwerpen","Kasterlee",51.224882984,4.92182077200005,"Op Kruispunt","Normaal","Droog","binnen bebouwde kom","Dag","Gewestweg","Met doden","Motorfiets","personenauto","Tussen 2 bestuurders: Frontale botsing","Geen hindernis","20"
"133","2019","01","15",2019-01-01,2019-01-01 15:00:00,2023-12-12 15:00:00,"13017","Vlaams Gewest","Provincie Antwerpen","Kasterlee",51.2253576260001,4.92331061000004,"Buiten Kruispunt","Normaal","Nat, plassen","binnen bebouwde kom","Dag","Gewestweg","Met doden","personenauto","Voetganger","Met een voetganger","Geen hindernis","15"
"134","2017","06","13",2017-06-01,2017-06-01 13:00:00,2023-12-12 13:00:00,"44064","Vlaams Gewest","Provincie Oost-Vlaanderen","Sint-Martens-Latem",51.0038275420001,3.62128751600005,"Op Kruispunt","Normaal","Droog","buiten bebouwde kom","Dag","Gewestweg","Met doden","Motorfiets","Vrachtwagen","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis","13"
"135","2019","04","09",2019-04-01,2019-04-01 09:00:00,2023-12-12 09:00:00,"44064","Vlaams Gewest","Provincie Oost-Vlaanderen","Sint-Martens-Latem",51.005674406,3.62538432200006,"Op Kruispunt","Normaal","Droog","buiten bebouwde kom","Dag","Gewestweg","dodelijk gewonden","personenauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Andere paal","09"
"136","2017","06","11",2017-06-01,2017-06-01 11:00:00,2023-12-12 11:00:00,"31004","Vlaams Gewest","Provincie West-Vlaanderen","Blankenberge",51.3129071970001,3.13704342600005,"Buiten Kruispunt","Normaal","Droog","binnen bebouwde kom","Dag","Gewestweg","dodelijk gewonden","personenauto","Fiets","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis","11"
"137","2020","09","13",2020-09-01,2020-09-01 13:00:00,2023-12-12 13:00:00,"31004","Vlaams Gewest","Provincie West-Vlaanderen","Blankenberge",51.308739653,3.13689599100007,"Buiten Kruispunt","Normaal","Droog","binnen bebouwde kom","Dag","Gewestweg","dodelijk gewonden","onbekend","onbekend","Andere of onbekend","Geen vermelding van de aanwezigheid van een hindernis","13"
"138","2022","05","17",2022-05-01,2022-05-01 17:00:00,2023-12-12 17:00:00,"31004","Vlaams Gewest","Provincie West-Vlaanderen","Blankenberge",51.3137407290001,3.13217048100006,"Buiten Kruispunt","Normaal","Droog","binnen bebouwde kom","Dag","Gemeenteweg","dodelijk gewonden","Fiets","Voetganger","Met een voetganger","Geen hindernis","17"
