"","TX_MUNTY_COLLISION_NL","CD_NIS","CD_ROAD_TYPE_NL","_2017","_2018","_2019","_2020","_2022","_2021","Totaal"
"35","Anhée","91005","Gewestweg",2,0,0,1,2,1,5
"36","Ans","62003","Autosnelweg",0,1,1,0,2,0,4
"37","Ans","62003","Gemeenteweg",1,0,1,0,0,1,2
"38","Ans","62003","Gewestweg",0,0,0,0,0,1,0
"39","Antoing","57003","Gewestweg",2,0,0,0,1,0,3
"40","Antwerpen","11002","Autosnelweg",2,3,2,2,3,5,12
"41","Antwerpen","11002","Gemeenteweg",9,5,4,5,6,12,29
"42","Antwerpen","11002","Gewestweg",6,7,6,6,2,2,27
"43","Antwerpen","11002","onbekend",1,0,0,0,0,0,1
"44","Ardooie","37020","Autosnelweg",0,0,2,1,0,1,3
"45","Ardooie","37020","Gemeenteweg",0,2,1,0,1,0,4
"46","Ardooie","37020","Gewestweg",0,0,0,1,0,0,1
"47","Arendonk","13001","Gewestweg",0,1,1,1,0,0,3
"48","As","71002","Gemeenteweg",0,0,0,1,0,0,1
"49","Asse","23002","Autosnelweg",0,0,0,0,1,0,1
