"","DT_YEAR_COLLISION","DT_MONTH_COLLISION","DT_TIME","YEAR_MONTH_DAY","YEAR_MONTH_DAY_HOUR","TIME_DT","CD_NIS","TX_RGN_COLLISION_NL","TX_PROV_COLLISION_NL","TX_MUNTY_COLLISION_NL","LAT_WGS84","LONG_WGS84","TX_CROSSWAY_NL","TX_WEATHER_NL","TX_ROAD_CONDITION_NL","TX_BUILD_UP_AREA_NL","TX_LIGHT_CONDITION_NL","CD_ROAD_TYPE_NL","TX_CLASS_ACCIDENTS_NL","TX_ROAD_USR_TYPE1_NL","TX_ROAD_USR_TYPE2_NL","TX_COLLISION_TYPE_NL","TX_OBSTACLES_NL"
"2537","2021","09","02",2021-09-01,2021-09-01 02:00:00,2024-01-02 02:00:00,"36015","Vlaams Gewest","Provincie West-Vlaanderen","Roeselare",50.9182989710001,3.17653073100007,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Nacht, geen openbare verlichting aanwezig","Autosnelweg","Met doden","personenauto","Vrachtwagen","Tussen 2 bestuurders: Frontale botsing","Geen hindernis"
"2538","2021","09","03",2021-09-01,2021-09-01 03:00:00,2024-01-02 03:00:00,"34041","Vlaams Gewest","Provincie West-Vlaanderen","Wevelgem",50.8355463820001,3.21973924900004,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Autosnelweg","Met doden","personenauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Vangrails niet overgestoken"
"2539","2021","09","19",2021-09-01,2021-09-01 19:00:00,2024-01-02 19:00:00,"21002","Brussels Hoofdstedelijk Gewest",NA,"Oudergem",50.800990201,4.46454627500003,"Buiten Kruispunt","Normaal","Droog","buiten bebouwde kom","Dageraad - schemering","Autosnelweg","Met doden","Motorfiets","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Verkeerseiland, middenberm"
"2540","2021","09","17",2021-09-01,2021-09-01 17:00:00,2024-01-02 17:00:00,"25023","Waals Gewest","Provincie Waals-Brabant","Court-Saint-Etienne",50.62481065,4.53326445700003,"Buiten Kruispunt","Normaal","Droog+Proper","buiten bebouwde kom","Dag","Gewestweg","Met doden","Motorfiets","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Andere paal"
"2541","2021","09","05",2021-09-01,2021-09-01 05:00:00,2024-01-02 05:00:00,"25112","Waals Gewest","Provincie Waals-Brabant","Waver",50.7068848210001,4.63814419500005,"Buiten Kruispunt","Normaal","Proper","buiten bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Gewestweg","Met doden","personenauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Andere paal"
"2542","2021","09","21",2021-09-01,2021-09-01 21:00:00,2024-01-02 21:00:00,"25072","Waals Gewest","Provincie Waals-Brabant","Nijvel",NA,NA,"Buiten Kruispunt","Normaal","Proper","buiten bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Autosnelweg","Met doden","personenauto","personenauto","Tussen 2 bestuurders: Langs achteren","Geen hindernis"
"2543","2021","09","20",2021-09-01,2021-09-01 20:00:00,2024-01-02 20:00:00,"55085","Waals Gewest","Provincie Henegouwen","Seneffe",50.55497612,4.27580022800004,"Buiten Kruispunt","Normaal","Proper","buiten bebouwde kom","Nacht, openb. verlicht. aanw., maar niet ontstoken","Autosnelweg","Met doden","personenauto","Voetganger","Met een voetganger","Geen hindernis"
"2544","2021","09","02",2021-09-01,2021-09-01 02:00:00,2024-01-02 02:00:00,"58001","Waals Gewest","Provincie Henegouwen","La Louvière",50.511409557,4.17718289700002,"Buiten Kruispunt","Normaal","Droog+Proper","buiten bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Autosnelweg","Met doden","personenauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Omheining"
"2545","2021","09","14",2021-09-01,2021-09-01 14:00:00,2024-01-02 14:00:00,"63061","Waals Gewest","Provincie Luik","Raeren",50.692546448,6.06529066400003,"Buiten Kruispunt","Normaal","Proper","buiten bebouwde kom","Dag","Autosnelweg","Met doden","personenauto","Motorfiets","Kettingbotsing (3 bestuurders of meer)","Geen hindernis"
"2546","2021","09","22",2021-09-01,2021-09-01 22:00:00,2024-01-02 22:00:00,"83055","Waals Gewest","Provincie Luxemburg","Manhay",50.3458930800001,5.68621140700003,"Buiten Kruispunt","Normaal","Proper","buiten bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Autosnelweg","Met doden","personenauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Boom"
"2547","2021","09","00",2021-09-01,2021-09-01 00:00:00,2024-01-02 00:00:00,"25014","Waals Gewest","Provincie Waals-Brabant","Eigenbrakel",50.6604407740001,4.31919320400004,"Buiten Kruispunt","Normaal","Proper","buiten bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Autosnelweg","Met doden","personenauto","personenauto","Tussen 2 bestuurders: Langs achteren","Geen hindernis"
"2548","2021","09","18",2021-09-01,2021-09-01 18:00:00,2024-01-02 18:00:00,"62099","Waals Gewest","Provincie Luik","Soumagne",NA,NA,"Buiten Kruispunt","Normaal","Proper","buiten bebouwde kom","Dag","Gewestweg","dodelijk gewonden","Lichte vrachtauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Andere paal"
"2549","2021","09","17",2021-09-01,2021-09-01 17:00:00,2024-01-02 17:00:00,"63035","Waals Gewest","Provincie Luik","Herve",50.647441272,5.82213969300005,"Buiten Kruispunt","Normaal","Droog","binnen bebouwde kom","Dag","Gewestweg","Met doden","Vrachtwagen","Voetganger","Met een voetganger","Geen hindernis"
"2550","2021","09","22",2021-09-01,2021-09-01 22:00:00,2024-01-02 22:00:00,"85011","Waals Gewest","Provincie Luxemburg","Florenville",49.6971123120001,5.32895749400006,"Buiten Kruispunt","Normaal","Vuil (zand, grint, bladeren,...)","buiten bebouwde kom","Nacht, geen openbare verlichting aanwezig","Gemeenteweg","dodelijk gewonden","Andere weggebruiker","één bestuurder, geen hindernis","Eén bestuurder, geen hindernis (incl. val)","Geen hindernis"
"2551","2021","09","18",2021-09-01,2021-09-01 18:00:00,2024-01-02 18:00:00,"92094","Waals Gewest","Provincie Namen","Namen",50.4463092620001,4.79569348100006,"Buiten Kruispunt","Normaal","Proper","buiten bebouwde kom","Dag","Gewestweg","Met doden","personenauto","Motorfiets","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis"
"2552","2021","09","22",2021-09-01,2021-09-01 22:00:00,2024-01-02 22:00:00,"92141","Waals Gewest","Provincie Namen","La Bruyère",50.5059294770001,4.78575796400003,"Buiten Kruispunt","Normaal","Proper","buiten bebouwde kom","Nacht, geen openbare verlichting aanwezig","Gewestweg","Met doden","personenauto","één bestuurder, geen hindernis","Eén bestuurder, geen hindernis (incl. val)","Geen hindernis"
"2553","2021","09","11",2021-09-01,2021-09-01 11:00:00,2024-01-02 11:00:00,"91034","Waals Gewest","Provincie Namen","Dinant",50.270255805,4.90419012200004,"Buiten Kruispunt","Normaal","Droog+Proper","buiten bebouwde kom","Dag","Gemeenteweg","Met doden","Motorfiets","personenauto","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis"
"2554","2021","09","15",2021-09-01,2021-09-01 15:00:00,2024-01-02 15:00:00,"57097","Waals Gewest","Provincie Henegouwen","Komen-Waasten",50.7324545430001,2.91166230200003,"Op Kruispunt","Normaal","Droog+Proper","binnen bebouwde kom","Dag","Gemeenteweg","Met doden","personenauto","Bromfiets","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis"
"2555","2021","09","21",2021-09-01,2021-09-01 21:00:00,2024-01-02 21:00:00,"51004","Waals Gewest","Provincie Henegouwen","Aat",50.6185719860001,3.70666345300003,"Op Kruispunt","Normaal","Droog+Proper","buiten bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Gewestweg","Met doden","personenauto","personenauto","Tss. 2 best.: langs opzij (voor-/achterkant-flank)","Geen hindernis"
"2556","2021","09","19",2021-09-01,2021-09-01 19:00:00,2024-01-02 19:00:00,"52011","Waals Gewest","Provincie Henegouwen","Charleroi",50.3864290610001,4.43759267500008,"Buiten Kruispunt","Normaal","Proper","binnen bebouwde kom","Nacht, openbare verlichting aanwezig en ontstoken","Gemeenteweg","Met doden","personenauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Muur gebouw"
"2557","2021","09","21",2021-09-01,2021-09-01 21:00:00,2024-01-02 21:00:00,"56016","Waals Gewest","Provincie Henegouwen","Chimay",50.069530275,4.33005748300008,"Buiten Kruispunt","Normaal","Droog+Proper","binnen bebouwde kom","Nacht, geen openbare verlichting aanwezig","Gemeenteweg","Met doden","personenauto","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Verlichtingspaal"
"2558","2021","09","10",2021-09-01,2021-09-01 10:00:00,2024-01-02 10:00:00,"11002","Vlaams Gewest","Provincie Antwerpen","Antwerpen",51.2202915880001,4.38599850600002,"Buiten Kruispunt","Normaal","Droog","binnen bebouwde kom","Dag","Gewestweg","dodelijk gewonden","personenauto","Voetganger","Met een voetganger","Geen hindernis"
"2559","2021","09","16",2021-09-01,2021-09-01 16:00:00,2024-01-02 16:00:00,"11023","Vlaams Gewest","Provincie Antwerpen","Kapellen (Antwerpen)",51.3493246410001,4.39889893800006,"Buiten Kruispunt","Normaal","Droog","binnen bebouwde kom","Dag","Gewestweg","dodelijk gewonden","personenauto","Voetganger","Met een voetganger","Geen hindernis"
"2560","2021","09","04",2021-09-01,2021-09-01 04:00:00,2024-01-02 04:00:00,"11035","Vlaams Gewest","Provincie Antwerpen","Ranst",51.183282784,4.59751659800003,"Buiten Kruispunt","Normaal","Droog","binnen bebouwde kom","Dag","Gemeenteweg","dodelijk gewonden","Fiets","een weggebruiker tegen een hindernis","Weggebruiker tegen hindernis buiten rijbaan","Buiten de rijbaan: Andere paal"
