"TX_MUNTY_COLLISION_NL","CD_NIS","CD_ROAD_TYPE_NL","_2017","_2018","_2019","_2020","_2022","_2021","Totaal"
"Lochristi","44034","Gemeenteweg",0,1,0,0,0,0,1
"Lokeren","46014","Gemeenteweg",1,1,0,3,0,1,6
"Lommel","72020","Gemeenteweg",1,1,0,0,1,2,5
"Londerzeel","23045","Gemeenteweg",0,0,1,0,0,1,2
"Lontzen","63048","Gemeenteweg",0,0,0,0,1,0,1
"Luik","62063","Gemeenteweg",4,2,2,4,1,3,16
"Lummen","71037","Gemeenteweg",0,0,1,0,0,0,1
"Léglise","84033","Gemeenteweg",0,0,0,0,0,1,1
"Maarkedal","45064","Gemeenteweg",0,0,0,1,0,0,1
"Maaseik","72021","Gemeenteweg",0,0,1,0,2,0,3
"Maasmechelen","73107","Gemeenteweg",1,2,1,0,1,1,6
"Maldegem","43010","Gemeenteweg",1,2,1,1,1,0,6
"Malmedy","63049","Gemeenteweg",0,0,1,1,1,0,3
"Manage","55086","Gemeenteweg",0,0,1,0,0,1,2
"Marchin","61039","Gemeenteweg",0,0,1,0,0,0,1
"Martelange","81013","Gemeenteweg",0,0,0,0,1,0,1
"Mechelen","12025","Gemeenteweg",0,0,1,0,1,0,2
"Meerhout","13021","Gemeenteweg",2,1,0,0,0,1,4
"Meise","23050","Gemeenteweg",0,2,0,0,0,0,2
"Meix-devant-Virton","85024","Gemeenteweg",0,0,0,0,1,0,1
"Menen","34027","Gemeenteweg",0,0,1,0,0,1,2
"Merbes-le-Château","56049","Gemeenteweg",0,0,1,0,0,0,1
"Merchtem","23052","Gemeenteweg",0,0,0,1,0,1,2
"Merksplas","13023","Gemeenteweg",0,0,1,0,0,0,1
"Messancy","81015","Gemeenteweg",1,0,0,0,0,1,2
"Mettet","92087","Gemeenteweg",1,0,0,0,0,0,1
"Meulebeke","37007","Gemeenteweg",0,1,0,0,1,0,2
"Middelkerke","35011","Gemeenteweg",1,0,0,1,1,2,5
"Modave","61041","Gemeenteweg",0,1,0,0,0,0,1
"Moeskroen","57096","Gemeenteweg",2,1,2,0,1,2,8
"Mol","13025","Gemeenteweg",1,1,0,1,1,0,4
"Moorslede","36012","Gemeenteweg",1,1,0,0,0,0,2
"Mortsel","11029","Gemeenteweg",0,1,0,0,0,0,1
"Namen","92094","Gemeenteweg",0,3,3,0,3,0,9
"Nassogne","83040","Gemeenteweg",0,1,0,0,0,0,1
"Nazareth","44048","Gemeenteweg",0,0,0,0,0,1,1
"Neufchâteau (Neufchâteau)","84043","Gemeenteweg",0,1,0,0,1,0,2
"Ninove","41048","Gemeenteweg",4,0,3,2,1,0,10
"Olen","13029","Gemeenteweg",0,0,1,0,0,1,2
"Olne","63057","Gemeenteweg",0,0,0,0,2,0,2
"Oostende","35013","Gemeenteweg",1,2,0,2,0,0,5
"Oosterzele","44052","Gemeenteweg",0,0,0,1,0,0,1
"Oostkamp","31022","Gemeenteweg",0,1,0,0,0,0,1
"Oostrozebeke","37010","Gemeenteweg",0,0,1,0,0,1,2
"Opwijk","23060","Gemeenteweg",1,0,0,0,0,0,1
"Orp-Jauche","25120","Gemeenteweg",0,1,0,0,1,0,2
"Oud-Heverlee","24086","Gemeenteweg",0,0,0,0,1,0,1
"Oudenaarde","45035","Gemeenteweg",0,2,2,0,1,0,5
"Oudenburg","35014","Gemeenteweg",0,0,1,0,0,1,2
"Oudsbergen","72042","Gemeenteweg",1,2,1,0,0,2,6
"Oupeye","62079","Gemeenteweg",0,0,1,0,0,0,1
"Overijse","23062","Gemeenteweg",1,0,0,0,0,0,1
"Paliseul","84050","Gemeenteweg",0,0,0,1,0,0,1
"Pecq","57062","Gemeenteweg",1,0,0,0,0,0,1
"Pelt","72043","Gemeenteweg",0,1,1,1,2,2,7
"Pepingen","23064","Gemeenteweg",0,0,0,1,0,0,1
"Perwijs (Nijvel)","25084","Gemeenteweg",0,0,0,1,0,0,1
"Philippeville","93056","Gemeenteweg",0,1,0,0,0,0,1
"Pont-à-Celles","52055","Gemeenteweg",0,0,0,1,1,0,2
"Poperinge","33021","Gemeenteweg",0,0,0,1,0,0,1
"Putte","12029","Gemeenteweg",1,0,0,1,0,2,4
"Puurs-Sint-Amands","12041","Gemeenteweg",0,0,1,0,0,0,1
"Péruwelz","57064","Gemeenteweg",1,1,0,0,0,0,2
"Quiévrain","53068","Gemeenteweg",0,0,0,1,0,1,2
"Ramillies","25122","Gemeenteweg",0,0,1,0,0,0,1
"Ranst","11035","Gemeenteweg",0,0,1,0,1,1,3
"Ravels","13035","Gemeenteweg",0,0,1,0,0,0,1
"Rebecq","25123","Gemeenteweg",0,0,0,0,1,0,1
"Riemst","73066","Gemeenteweg",0,1,0,0,0,0,1
"Rijkevorsel","13037","Gemeenteweg",1,0,0,0,0,0,1
"Rixensart","25091","Gemeenteweg",0,0,0,1,1,0,2
"Roeselare","36015","Gemeenteweg",1,0,1,0,1,0,3
"Ronse","45041","Gemeenteweg",1,0,0,0,0,0,1
"Roosdaal","23097","Gemeenteweg",0,0,1,0,0,1,2
"Rotselaar","24094","Gemeenteweg",1,0,1,0,0,0,2
"Rumst","11037","Gemeenteweg",0,0,0,1,1,0,2
"Saint-Georges-sur-Meuse","64065","Gemeenteweg",0,0,0,0,1,0,1
"Saint-Ghislain","53070","Gemeenteweg",0,0,2,0,0,0,2
"Saint-Nicolas (Luik)","62093","Gemeenteweg",0,2,2,0,0,1,5
"Sainte-Ode","82038","Gemeenteweg",0,1,0,0,0,0,1
"Sambreville","92137","Gemeenteweg",0,0,1,0,2,0,3
"Sankt Vith","63067","Gemeenteweg",0,1,0,0,0,1,2
"Schaarbeek","21015","Gemeenteweg",1,2,1,0,0,0,4
"Scherpenheuvel-Zichem","24134","Gemeenteweg",0,2,1,0,0,2,5
"Schilde","11039","Gemeenteweg",0,0,0,1,0,1,2
"Schoten","11040","Gemeenteweg",1,1,1,1,1,2,7
"Seneffe","55085","Gemeenteweg",1,0,0,0,0,1,2
"Seraing","62096","Gemeenteweg",0,1,0,0,2,1,4
"Sint-Genesius-Rode","23101","Gemeenteweg",1,0,0,1,0,0,2
"Sint-Gillis","21013","Gemeenteweg",0,1,0,0,0,0,1
"Sint-Gillis-Waas","46020","Gemeenteweg",1,1,1,0,0,2,5
"Sint-Joost-ten-Node","21014","Gemeenteweg",0,1,0,0,0,0,1
"Sint-Katelijne-Waver","12035","Gemeenteweg",0,0,0,0,2,1,3
"Sint-Lambrechts-Woluwe","21018","Gemeenteweg",2,0,0,0,0,0,2
"Sint-Laureins","43014","Gemeenteweg",1,1,0,0,0,0,2
"Sint-Martens-Latem","44064","Gemeenteweg",1,0,0,0,0,0,1
"Sint-Niklaas (Sint-Niklaas)","46021","Gemeenteweg",0,3,1,2,1,1,8
"Sint-Pieters-Leeuw","23077","Gemeenteweg",2,0,1,0,1,0,4
"Sint-Pieters-Woluwe","21019","Gemeenteweg",0,0,0,0,1,0,1
"Sint-Truiden","71053","Gemeenteweg",0,1,1,1,2,2,7
"Sivry-Rance","56088","Gemeenteweg",0,0,0,0,0,1,1
"Sombreffe","92114","Gemeenteweg",0,0,0,1,0,0,1
"Soumagne","62099","Gemeenteweg",0,0,1,0,0,0,1
"Spa","63072","Gemeenteweg",2,0,0,0,0,0,2
"Sprimont","62100","Gemeenteweg",0,0,0,0,0,1,1
"Stabroek","11044","Gemeenteweg",0,0,0,2,0,0,2
"Staden","36019","Gemeenteweg",0,0,1,0,1,0,2
"Stavelot","63073","Gemeenteweg",0,0,0,0,1,0,1
"Stekene","46024","Gemeenteweg",0,0,0,1,1,0,2
"Stoumont","63075","Gemeenteweg",0,1,1,0,0,1,3
"Temse","46025","Gemeenteweg",1,0,2,0,1,0,4
"Tessenderlo","71057","Gemeenteweg",0,0,0,0,1,1,2
"Theux","63076","Gemeenteweg",1,0,0,0,1,0,2
"Tielt (Tielt)","37015","Gemeenteweg",0,0,0,0,1,0,1
"Tienen","24107","Gemeenteweg",0,0,0,0,0,1,1
"Tongeren","73083","Gemeenteweg",1,0,1,0,0,0,2
"Torhout","31033","Gemeenteweg",0,1,0,0,0,1,2
"Trois-Ponts","63086","Gemeenteweg",0,1,0,0,0,0,1
"Tubeke","25105","Gemeenteweg",0,0,0,0,1,0,1
"Turnhout","13040","Gemeenteweg",1,0,1,0,0,0,2
"Ukkel","21016","Gemeenteweg",1,0,0,0,0,0,1
"Verviers","63079","Gemeenteweg",1,0,0,0,1,1,3
"Veurne","38025","Gemeenteweg",1,0,0,1,0,0,2
"Vielsalm","82032","Gemeenteweg",0,1,1,0,0,0,2
"Villers-la-Ville","25107","Gemeenteweg",0,1,0,0,1,0,2
"Vilvoorde","23088","Gemeenteweg",0,0,0,1,0,0,1
"Viroinval","93090","Gemeenteweg",1,0,0,0,0,0,1
"Virton","85045","Gemeenteweg",1,1,0,0,0,0,2
"Vloesberg","51019","Gemeenteweg",0,0,0,0,1,0,1
"Voeren","73109","Gemeenteweg",1,0,0,0,0,0,1
"Vorselaar","13044","Gemeenteweg",0,0,1,0,0,1,2
"Vosselaar","13046","Gemeenteweg",2,0,0,0,0,0,2
"Walcourt","93088","Gemeenteweg",0,0,0,0,1,0,1
"Walhain","25124","Gemeenteweg",0,0,0,0,0,1,1
"Wanze","61072","Gemeenteweg",0,0,1,1,1,0,3
"Waregem","34040","Gemeenteweg",1,1,2,0,0,1,5
"Waver","25112","Gemeenteweg",1,0,1,0,0,0,2
"Weismes","63080","Gemeenteweg",0,0,1,0,0,0,1
"Welkenraedt","63084","Gemeenteweg",0,0,1,0,0,0,1
"Wellen","73098","Gemeenteweg",0,0,1,0,0,0,1
"Wemmel","23102","Gemeenteweg",0,1,1,0,1,0,3
"Wervik","33029","Gemeenteweg",0,1,0,1,1,0,3
"Westerlo","13049","Gemeenteweg",1,1,1,0,1,1,5
"Wetteren","42025","Gemeenteweg",0,0,1,1,0,0,2
"Wevelgem","34041","Gemeenteweg",2,1,0,1,0,0,4
"Wichelen","42026","Gemeenteweg",1,0,0,0,0,0,1
"Wielsbeke","37017","Gemeenteweg",0,0,1,1,1,0,3
"Wijnegem","11050","Gemeenteweg",1,0,0,0,1,0,2
"Willebroek","12040","Gemeenteweg",0,1,3,1,0,0,5
"Wingene","37018","Gemeenteweg",0,0,0,1,0,0,1
"Wommelgem","11052","Gemeenteweg",0,2,0,1,0,0,3
"Wortegem-Petegem","45061","Gemeenteweg",0,0,0,0,0,1,1
"Wuustwezel","11053","Gemeenteweg",0,0,1,0,0,2,3
"Zandhoven","11054","Gemeenteweg",0,0,0,2,0,0,2
"Zaventem","23094","Gemeenteweg",1,0,0,0,1,0,2
"Zedelgem","31040","Gemeenteweg",0,0,0,0,1,0,1
"Zele","42028","Gemeenteweg",1,2,0,1,0,0,4
"Zinnik","55040","Gemeenteweg",1,1,0,0,0,0,2
"Zonhoven","71066","Gemeenteweg",0,0,0,1,0,1,2
"Zonnebeke","33037","Gemeenteweg",0,0,2,0,1,1,4
"Zottegem","41081","Gemeenteweg",0,1,1,2,0,0,4
"Zoutleeuw","24130","Gemeenteweg",0,0,0,2,0,1,3
"Zwevegem","34042","Gemeenteweg",1,0,1,1,1,0,4
"Zwijndrecht","11056","Gemeenteweg",0,0,0,0,0,1,1
